topic_id	path_id	path_name	path_date	path_title	path_description	path_language	path_level	path_duration_months	path_employment_warranty	path_partner	path_illustration	path_url	path_certification_url
14	524	responsable-de-projet-cybersecurite-et-si		Responsable de Projet Cybersécurité et SI	Pilotez des projets cybersécurité et SI avec succès et créez de la valeur pour votre entreprise	fr	Diplôme de niveau 7 (bac +5)	17	0	 le CESI	https://oc-static.imgix.net/prod/images/paths/illustrations/524/16354082969438_PROJECT_Product_M_Chef_SI.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/524-responsable-de-projet-cybersecurite-et-si	https://www.francecompetences.fr/recherche/rncp/35588/
2	591	digital-transformation-lead		Digital Transformation Lead	Be nurtured and empowered to effectively lead your business through its digital transformation.	en	Certification OpenClassrooms	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/591/16437030058841_15712275519465_Digital%20Transformation%20png.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/591-digital-transformation-lead	
4	167	ai-engineer		AI Engineer	Design and integrate Deep Learning models inside an AI product	en	Diplôme de niveau 7 (bac +5)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/167/15693185297131_DATA_IA.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/167-ai-engineer	https://certificationprofessionnelle.fr/recherche/rncp/34545
4	146	data-analyst		Data Analyst	Analyze data and model phenomena with realistic business cases. Start your career in Data Science now!	en	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/DATA_ANALYST.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/146-data-analyst	https://www.francecompetences.fr/recherche/rncp/34964/
5	76	ux-designer		UX Designer	Master human-centered design and create beautiful, clean user experiences!	en	Certification OpenClassrooms	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/DESIGN_UX.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/76-ux-designer	
6	555	web-developer		Web Developer	Jumpstart your career in web development by learning to build responsive, dynamic websites.	en	Diplôme de niveau 5 (bac +2)	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/555/16377641274939_WEB_DEV_JR.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/555-web-developer	https://www.francecompetences.fr/recherche/rncp/36076
6	411	software-architect		Software Architect	Become an expert in software development! Lead high-level architecture decisions and design complex solutions.	en	Diplôme de niveau 7 (bac +5)	15	0		https://oc-static.imgix.net/prod/images/paths/illustrations/411/16143585090946_DEVELOPMENT_software_architecht.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/411-software-architect	https://www.francecompetences.fr/recherche/rncp/34979
6	506	salesforce-developer		Salesforce Developer	Prepare to certify as a Salesforce Platform Developer and bring custom cloud-based solutions to the world.	en	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/506/16333565269781_15578465869342_Salesforce.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/506-salesforce-developer	https://www.francecompetences.fr/recherche/rncp/35976/
6	507	ios-developer		iOS Developer	Discover iOS development, and build powerful applications for iPhones and iPads!	en	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/507/16333571758737_15598102134014_DEV_IOS_full%202.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/507-ios-developer	https://www.francecompetences.fr/recherche/rncp/35976/
6	508	android-developer		Android Developer	Build Android apps for the billions of people on Android, the most widely-used mobile system worldwide.	en	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/508/1633355562774_DEV_Android.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/508-android-developer	https://www.francecompetences.fr/recherche/rncp/35976/
6	509	full-stack-developer		Full-stack Developer	Become a full-stack developer to write different kinds of code that handle front-end and back-end tasks.	en	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/509/16333553382518_FULLSTACK.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/509-full-stack-developer	https://www.francecompetences.fr/recherche/rncp/35976/
6	510	back-end-developer-net		Back-end Developer - .NET	Build robust, secure web applications in the C# programming language with Microsoft's .NET software framework.	en	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/510/16333551447277_15807462522313_path_c%23_v2.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/510-back-end-developer-net	https://www.francecompetences.fr/recherche/rncp/35976/
6	514	python-developer		Python Developer	Build powerful web applications using the popular programming language, Python, and the Django framework.	en	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/514/16333551515465_DEV_Python.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/514-python-developer	https://www.francecompetences.fr/recherche/rncp/35976/
6	515	back-end-developer-java		Back-end Developer: Java	Learn software development using Java, one of the most widely-used programming languages in the world.	en	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/515/16333554948118_DEV_Java.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/515-back-end-developer-java	https://www.francecompetences.fr/recherche/rncp/35976/
6	517	javascript-react-developer		JavaScript React Developer	Create website interfaces, styles, and animations like the ones you know and use everyday.	en	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/517/16333556660147_15984530917194_15435992831411_path61.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/517-javascript-react-developer	https://www.francecompetences.fr/recherche/rncp/35976/
7	539	digital-project-manager		Digital Project Manager	Help teams deliver high-quality work, on time and within budget throughout entire digital project life cycles.	en	Certification OpenClassrooms	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/539/16378524588764_PROJECTMGMT_DIGITAL%20%281%29.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/539-digital-project-manager	
7	703	product-manager		Product Manager	Align design, technical and business teams around a product vision.	en	Diplôme de niveau 7 (bac +5)	12	0	 MediaSchool, the French leader in higher and continuing education in the digital and communications sectors	https://oc-static.imgix.net/prod/images/paths/illustrations/703/16600633576903_16565071139509_Projectmanager%20%281%29%20%281%29.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/703-product-manager	https://www.francecompetences.fr/recherche/rncp/34758/
9	287	digital-marketer		Digital Marketer	Launch successful digital marketing campaigns and measure their impact.	en	Certification OpenClassrooms	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/287/16045999712547_Digital_Markeeting_path%20%283%29.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/287-digital-marketer	
14	347	it-support-technician		IT Support Technician	Enter the field of information technology by learning how to manage IT equipment and provide user support.	en	Certification OpenClassrooms	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/347/16212995446843_SYSTEMS_IT-Technician.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/347-it-support-technician	
