path_id	project_id	project_number	project_name	project_title	project_description	project_duration_hours	project_illustration	project_url
90	0	7		Assurez le rôle stratégique de la DRH et construisez les outils de pilotage associés	Accompagnez l'entreprise dans sa stratégie de développement!	150		
122	0	1		Démarrez votre formation de Responsable Learning & Development !	"Mettez toutes les chances de votre côté en débutant ce parcours de formation ""Responsable Learning & Development""!"	20		
122	0	2		Immergez-vous dans l'environnement de la formation professionnelle	Découvrez les dispositifs de formation, leur environnement réglementaire et les financements associés, pour bien appréhender le processus formation.	60		
122	0	3		Mettez en place une politique de formation	Apprenez à définir une politique de formation afin d’aligner les actions de formation sur les besoins de l’entreprise.	90		
122	0	4		Anticipez les évolutions métiers	Appréhendez les enjeux stratégiques de l'entreprise pour identifier les besoins, analysez les évolutions des compétences, pour mettre en place les formations adaptées.	100		
122	0	5		Contribuez à la GPEC de l'entreprise	Dans ce projet, apprenez à utiliser la formation comme un levier d’accompagnement des évolutions des métiers au sein de l’entreprise.	100		
122	0	6		Concevez et animez une formation	Dans ce projet, apprenez à construire une formation de sa conception jusqu’à son animation.	80		
122	0	7		Gérez un projet de formation dans l'entreprise	Transformez les besoins de formation en projets de développement de compétences! Dans ce projet, vous allez organiser un projet de formation, définir son cadre pédagogique et apprendre à mener des appels d’offre.	100		
122	0	8		Valorisez les impacts de la formation	Evaluez le ROI des actions de formation et communiquez sur les résultats dans l'entreprise.	100		
122	0	9		Faites grandir votre activité	Prenez de la hauteur sur votre activité pour la développer !	100		
143	0	1		Démarrez votre formation de conseiller en évolution professionnelle	Vous embarquez dans un grand parcours d'apprentissage. Ce premier projet va vous y préparer !	10		
143	0	2		24h dans la vie d'un conseiller en évolution professionnelle	Vous allez bientôt exercer un métier riche, au contact du public. Découvrez la posture à adopter en tant que CEP.	20		
143	0	3		Gérez votre portefeuille de bénéficiaires	Un CEP accompagne en parallèle de nombreuses personnes avec des besoins différents. Gérez de multiples bénéficiaires et choisissez les actions qui leur correspondent.	20		
143	0	4		Constituez votre réseau de partenaires	Tissez votre réseau local, afin de mieux connaître le marché du travail sur votre territoire. Restez ainsi en veille sur les évolutions des métiers.	70		
143	0	5		Réalisez un diagnostic et co-construisez un plan d'action avec vos bénéficiaires	Entrez dans le cœur du métier de CEP : l'accompagnement de bénéficiaires. Cernez les besoins des personnes et proposez-leur des plans d'action adaptés !	80		
