path_id	project_id	project_number	course_id	href
287	0	5	6663471	https://openclassrooms.com/fr/courses/6663471-develop-your-creativity
287	0	6	5873051	https://openclassrooms.com/fr/courses/5873051-organize-your-data-in-a-spreadsheet
287	0	6	6863126	https://openclassrooms.com/fr/courses/6863126-launch-an-advertising-campaign
287	0	7	6910706	https://openclassrooms.com/fr/courses/6910706-develop-a-social-media-strategy
144	0	1	5281811	https://openclassrooms.com/fr/courses/5281811-learn-how-to-learn
144	0	1	5873036	https://openclassrooms.com/fr/courses/5873036-find-out-what-it-takes-to-be-a-career-coach
144	0	2	5291566	https://openclassrooms.com/fr/courses/5291566-learn-to-work-autonomously
144	0	3	5566476	https://openclassrooms.com/fr/courses/5566476-learn-to-freelance-daily-management
144	0	3	5873051	https://openclassrooms.com/fr/courses/5873051-organize-your-data-in-a-spreadsheet
144	0	4	5327241	https://openclassrooms.com/fr/courses/5327241-build-a-sales-strategy-for-your-freelance-business
144	0	4	5800536	https://openclassrooms.com/fr/courses/5800536-stay-up-to-date-with-innovations-in-your-field
144	0	4	5779841	https://openclassrooms.com/fr/courses/5779841-learn-how-to-network
144	0	5	5800546	https://openclassrooms.com/fr/courses/5800546-deliver-an-effective-career-coaching-session
144	0	6	5291411	https://openclassrooms.com/fr/courses/5291411-develop-your-career-plan
144	0	7	5314701	https://openclassrooms.com/fr/courses/5314701-develop-your-personal-job-search-strategy
144	0	7	5370656	https://openclassrooms.com/fr/courses/5370656-land-a-job
144	0	8	5258236	https://openclassrooms.com/fr/courses/5258236-prepare-professional-written-documents
144	0	8	5948166	https://openclassrooms.com/fr/courses/5948166-improve-your-presentation-skills
144	0	9	5253451	https://openclassrooms.com/fr/courses/5253451-speak-in-public
144	0	9	5948166	https://openclassrooms.com/fr/courses/5948166-improve-your-presentation-skills
144	0	10	2348776	https://openclassrooms.com/fr/courses/2348776-resolve-conflicts-at-work
