src_course_id	src_chapter_id	relation	tgt_course_id	tgt_chapter_id	href
4963261	5181161	references	5149176	0	https://openclassrooms.com/fr/courses/5149176-realisez-la-gestion-de-votre-tresorerie
5149176	0	requires	4801106	0	https://openclassrooms.com/fr/courses/4801106-initiez-vous-a-la-comptabilite
5149176	5701291	references	4801106	4924886	https://openclassrooms.com/fr/courses/4801106-initiez-vous-a-la-comptabilite/4924886-decrypter-le-fonctionnement-d-un-compte-de-resultat
5149176	5701291	references	5010961	5322136	https://openclassrooms.com/fr/courses/5010961-realisez-une-comptabilite-de-fin-dexercice/5322136-enregistrez-les-charges-lors-des-ecritures-dinventaire
5149176	5701986	references	4801106	4924861	https://openclassrooms.com/fr/courses/4801106-initiez-vous-a-la-comptabilite/4924861-decrypter-le-fonctionnement-d-un-bilan
6391586	6643396	references	6380896	0	https://openclassrooms.com/fr/courses/6380896-pilotez-une-prospection-commerciale-efficace
6391586	6643396	references	6391716	0	https://openclassrooms.com/fr/courses/6391716-realisez-un-rendez-vous-commercial
6316366	0	requires	4750821	0	https://openclassrooms.com/fr/courses/4750821-initiez-vous-aux-techniques-commerciales?status=published
6316366	6316373	references	6391716	6633216	https://openclassrooms.com/fr/courses/6391716-reussissez-vos-rendez-vous-commerciaux/6633216-calculez-votre-grille-tarifaire
6316366	6855536	references	6316366	0	https://openclassrooms.com/fr/courses/6316366/parts/6855536/wootric.com
6316366	6855726	references	5248881	5811266	https://openclassrooms.com/fr/courses/5248881-analysez-des-donnees-pour-prendre-des-decisions-de-design/5811266-ameliorez-la-conversion-grace-a-des-tests-a-b
5185316	0	requires	5177201	0	https://openclassrooms.com/fr/courses/5177201-choisissez-le-statut-juridique-adapte-pour-votre-activite
5185316	5569521	references	4940566	0	https://openclassrooms.com/fr/courses/4940566-realisez-les-operations-courantes-de-comptabilite
5185316	5569521	references	5010961	0	https://openclassrooms.com/fr/courses/5010961-realisez-une-comptabilite-de-fin-dexercice
5185316	5569521	references	5177201	0	https://openclassrooms.com/fr/courses/5177201-choisissez-le-statut-juridique-adapte-pour-votre-activite
5185316	5570351	references	4940566	0	https://openclassrooms.com/fr/courses/4940566-realisez-les-operations-courantes-de-comptabilite
5185316	5570351	references	5010961	0	https://openclassrooms.com/fr/courses/5010961-realisez-une-comptabilite-de-fin-dexercice
5185316	5570826	references	5177201	0	https://openclassrooms.com/fr/courses/5177201-choisissez-le-statut-juridique-adapte-a-votre-activite
5185316	5571111	references	5164356	0	https://openclassrooms.com/en/courses/5164356-construisez-votre-strategie-commerciale-dindependant?status=published
5164356	5346101	requires	4296701	0	https://openclassrooms.com/courses/apprenez-a-bien-cadrer-un-projet-multimedia/resumez-le-besoin-client-en-quelques-mots
5164356	5346101	requires	4750821	4761981	https://openclassrooms.com/courses/initiez-vous-aux-techniques-commerciales/definissez-votre-pitch-commercial
5164356	5164363	references	5218141	0	https://openclassrooms.com/courses/5218141-construisez-votre-projet-professionnel
5164356	5345641	references	3938146	4288041	https://openclassrooms.com/fr/courses/3938146-appropriez-vous-la-demarche-ux-en-pratique/4288041-creez-trois-personas-a-partir-des-profils-utilisateurs
